id,name,address,phone
Su Sengupta,154 Highgate Grove Singapore - 176934,12345678,27
The Queen,Buckingham Palace London - 125678,12219970,76
Peter Parker,Somewhere in Brooklyn NYC USA,78638263,56
Hades,Block 666 Underworld - 127683,23338698
Iron Man,Stark Industries NYC 123566,872382932,55
Wanda,In the multiverse,263827632,58
Aunt Polly,23 Huck Finn Avenue Yorkshire UK - 126987,635215853,98
John Smith,123 Highgate Grove Singapore - 323244,34323434,43
Bugs Bunny,Rabbit Hole London - 232323,87263162363,23
Thor,Block 145 Earth NYC - 126979,2363127633333
Hawkeye,174 Bird Lane LA - 126990,236333336
Jane Smith,24 Rudolph Avenue Singapore - 123658,7653826383,8
Mary Shelley,"Block 37, Frankenstein Avenue London - 126998",1290120208,99
Matt Smith,32 Crown Lane Singapore - 123658,232321232,7
Claire Foy,Block 21 Crown Avenue London - 126998,2372373007,67
Dudley Dursley,27 Privet Drive Surrey  UK - 12681,125182523,55
Petunia Dursley,27 Privet Drive Surrey  UK - 12681,37825387,64
Vernon Dursley,27 Privet Drive Surrey  UK - 12681,72368232,65
Severus Snape,Hogwarts Scotland UK - 273528,273812326,25
